Participant,Scenario,Segment,Channel,Delta,Theta,Alpha,Beta,Gamma,CQ_AF3_mean,CQ_AF3_std,CQ_T7_mean,CQ_T7_std,CQ_Pz_mean,CQ_Pz_std,CQ_T8_mean,CQ_T8_std,CQ_AF4_mean,CQ_AF4_std,CQ_OVERALL_mean,CQ_OVERALL_std,EQ_AF3_mean,EQ_AF3_std,EQ_T7_mean,EQ_T7_std,EQ_Pz_mean,EQ_Pz_std,EQ_T8_mean,EQ_T8_std,EQ_AF4_mean,EQ_AF4_std,EQ_OVERALL_mean,EQ_OVERALL_std,BATTERY_mean,BATTERY_std,BATTERY_PERCENT_mean,BATTERY_PERCENT_std
001_(14),Participants Listening to Relaxing Music,Segment_1,AF3,565.8725581145048,23.856827838462877,8.802747616981081,8.908738243355714,3.9523864651807568,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,2.0000000000000008e-06,8.470329472543003e-22,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,8.299999999999997e-05,2.710505431213761e-20,3.803287380699894e-06,3.975132258280188e-07,3.6712619300106054e-06,8.353860038971191e-07,2.0000000000000008e-06,8.470329472543003e-22,3.0678685047720036e-06,2.515201201335922e-07,3.705726405090138e-06,4.5571553215650696e-07,7.073966065747614e-05,7.314883119313368e-06,1.0000000000000004e-06,4.235164736271502e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_1,T7,243.08063225366647,25.269417784462085,8.209414767072953,9.89601952056015,7.7843621937747844,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,2.0000000000000008e-06,8.470329472543003e-22,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,8.299999999999997e-05,2.710505431213761e-20,3.803287380699894e-06,3.975132258280188e-07,3.6712619300106054e-06,8.353860038971191e-07,2.0000000000000008e-06,8.470329472543003e-22,3.0678685047720036e-06,2.515201201335922e-07,3.705726405090138e-06,4.5571553215650696e-07,7.073966065747614e-05,7.314883119313368e-06,1.0000000000000004e-06,4.235164736271502e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_1,Pz,5.122850909332741,2.31777263765966,1.9892621434416873,1.7378342340825046,1.4930961070112818,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,2.0000000000000008e-06,8.470329472543003e-22,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,8.299999999999997e-05,2.710505431213761e-20,3.803287380699894e-06,3.975132258280188e-07,3.6712619300106054e-06,8.353860038971191e-07,2.0000000000000008e-06,8.470329472543003e-22,3.0678685047720036e-06,2.515201201335922e-07,3.705726405090138e-06,4.5571553215650696e-07,7.073966065747614e-05,7.314883119313368e-06,1.0000000000000004e-06,4.235164736271502e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_1,T8,32.98105894587548,7.3285262621611444,3.934769778365044,11.062828121648087,9.080440773780026,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,2.0000000000000008e-06,8.470329472543003e-22,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,8.299999999999997e-05,2.710505431213761e-20,3.803287380699894e-06,3.975132258280188e-07,3.6712619300106054e-06,8.353860038971191e-07,2.0000000000000008e-06,8.470329472543003e-22,3.0678685047720036e-06,2.515201201335922e-07,3.705726405090138e-06,4.5571553215650696e-07,7.073966065747614e-05,7.314883119313368e-06,1.0000000000000004e-06,4.235164736271502e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_1,AF4,143.76488880271683,14.102870210724372,6.755346088262061,11.541439112667083,5.723670408099922,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,2.0000000000000008e-06,8.470329472543003e-22,4.0000000000000015e-06,1.6940658945086007e-21,4.0000000000000015e-06,1.6940658945086007e-21,8.299999999999997e-05,2.710505431213761e-20,3.803287380699894e-06,3.975132258280188e-07,3.6712619300106054e-06,8.353860038971191e-07,2.0000000000000008e-06,8.470329472543003e-22,3.0678685047720036e-06,2.515201201335922e-07,3.705726405090138e-06,4.5571553215650696e-07,7.073966065747614e-05,7.314883119313368e-06,1.0000000000000004e-06,4.235164736271502e-22,1.4999999999999992e-05,6.776263578034403e-21
001_(14),Participants Listening to Relaxing Music,Segment_2,AF3,173.55021938025493,15.714145376768467,8.79959975291146,9.498310978075747,5.675098123031387,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,3.8092399403874815e-06,3.92900317216908e-07,1.3353204172876304e-06,1.356967396739009e-06,2.0000000000000003e-06,4.235164736271502e-22,3e-06,0.0,3.6810730253353205e-06,4.6606068220341683e-07,5.306408345752608e-05,1.132452098659132e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999997e-05,1.6940658945086007e-21
001_(14),Participants Listening to Relaxing Music,Segment_2,T7,7329.553054719366,254.85059874153143,19.680921450007975,12.79046636519194,8.188613798798405,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,3.8092399403874815e-06,3.92900317216908e-07,1.3353204172876304e-06,1.356967396739009e-06,2.0000000000000003e-06,4.235164736271502e-22,3e-06,0.0,3.6810730253353205e-06,4.6606068220341683e-07,5.306408345752608e-05,1.132452098659132e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999997e-05,1.6940658945086007e-21
001_(14),Participants Listening to Relaxing Music,Segment_2,Pz,5.640747546456372,1.6517352628299893,3.0110837782340316,1.1586317478597452,1.2169851549112747,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,3.8092399403874815e-06,3.92900317216908e-07,1.3353204172876304e-06,1.356967396739009e-06,2.0000000000000003e-06,4.235164736271502e-22,3e-06,0.0,3.6810730253353205e-06,4.6606068220341683e-07,5.306408345752608e-05,1.132452098659132e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999997e-05,1.6940658945086007e-21
001_(14),Participants Listening to Relaxing Music,Segment_2,T8,35.67302407349691,6.002657531920573,5.942439317037169,13.672044636021846,11.344301467466062,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,3.8092399403874815e-06,3.92900317216908e-07,1.3353204172876304e-06,1.356967396739009e-06,2.0000000000000003e-06,4.235164736271502e-22,3e-06,0.0,3.6810730253353205e-06,4.6606068220341683e-07,5.306408345752608e-05,1.132452098659132e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999997e-05,1.6940658945086007e-21
001_(14),Participants Listening to Relaxing Music,Segment_2,AF4,33.08887254150094,12.182281381765044,6.364176755715778,8.594148946170582,5.444296291124206,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,2.0000000000000003e-06,4.235164736271502e-22,4.000000000000001e-06,8.470329472543003e-22,4.000000000000001e-06,8.470329472543003e-22,8.299999999999997e-05,2.710505431213761e-20,3.8092399403874815e-06,3.92900317216908e-07,1.3353204172876304e-06,1.356967396739009e-06,2.0000000000000003e-06,4.235164736271502e-22,3e-06,0.0,3.6810730253353205e-06,4.6606068220341683e-07,5.306408345752608e-05,1.132452098659132e-05,1.0000000000000002e-06,2.117582368135751e-22,1.4999999999999997e-05,1.6940658945086007e-21
